#Equation of state data. Hydrogen.
#$1 Temperature (in K) 
#$2 Pressure (in GPa)


#rho = 4.21e-2  g/cm^3
166667	102.747
125000	73.082
62500	29.462
31250	11.863
25000	9.075
20000	7.320
15625	5.530
12500	4.325
10000	3.700
8929	3.353
7812	3.065
6944	2.893
6250	2.622
5000	2.307


#rho = 1.25e-2 gm/cm^3
166667	31.912
125000	23.036
62500	9.586
31250	3.716
15625	1.672
12500	1.380
10000	1.096
8929	0.992
7812	0.884
6944	0.808
6250	0.769
5000	0.676


#rho = 1.05e-2  g/cm^3
166667	13.770
125000	10.060
62500	4.337
31250	1.639
15625	0.723
12500	0.630
10000	0.480
8929	0.432
7812	0.371
6944	0.344
6250	0.308
5000	0.297


#rho = 2.7e-3  g/cm^3
166667	7.166
125000	5.264
62500	2.342
31250	0.879
15625	0.397
12500	0.323
10000	0.270
8929	0.234
7812	0.203
6944	0.191
6250	0.168
5000	0.151


#rho = 9.83e-4  g/cm^3
166667	2.641
125000	1.956
62500	0.902
31250	0.343
15625	0.143
12500	0.117
10000	0.094
8929	0.085
7812	0.076
6944	0.063
6250	0.059
5000	0.053
